day,q00,q11,r,h,rmse,hit,pnl,pos
-1,0.05,0.005,4.0,15,1.8570208745369525,0.3658193618171985,79479.5,80
-1,0.05,0.005,4.0,20,2.0781811204043965,0.3550027041644132,79319.0,80
-1,0.05,0.005,4.0,25,2.3318342089628072,0.3526230394808004,79258.0,80
-1,0.05,0.005,8.0,10,1.5549384622211526,0.40086533261222285,80151.5,80
-1,0.05,0.005,8.0,12,1.6155036181222702,0.388209843158464,80071.5,80
-1,0.05,0.005,8.0,15,1.6946409913665816,0.3772850189291509,79795.0,80
-1,0.05,0.005,8.0,20,1.8552462423829346,0.3637641968631693,79465.0,80
-1,0.05,0.005,8.0,25,2.043370920475717,0.35694970254191455,79371.0,80
-1,0.05,0.01,1.0,10,2.2465404558788857,0.319848566792861,78585.0,80
-1,0.05,0.01,1.0,12,2.4690211628310488,0.30773391022174146,78198.5,80
-1,0.05,0.01,1.0,15,2.7852391173165727,0.2979989183342347,77776.5,80
-1,0.05,0.01,1.0,20,3.3428361941189655,0.2895619253650622,77403.5,80
-1,0.05,0.01,1.0,25,3.939322944398326,0.2856679286100595,77249.0,80
-1,0.05,0.01,2.0,10,1.9953510791452644,0.34959437533802057,79210.0,80
-1,0.05,0.01,2.0,12,2.1608433612498175,0.3402920497566252,79066.0,80
-1,0.05,0.01,2.0,15,2.3924195088255833,0.3292590589507842,78804.0,80
-1,0.05,0.01,2.0,20,2.811799789775305,0.31995673336938885,78309.0,80
-1,0.05,0.01,2.0,25,3.2696716385361095,0.31335857220118984,78009.0,80
-1,0.05,0.01,4.0,10,1.8039845150050007,0.37133585722011897,79734.5,80
-1,0.05,0.01,4.0,12,1.9244862573471262,0.36149269875608436,79403.0,80
-1,0.05,0.01,4.0,15,2.0901368245939884,0.3519740400216333,79254.0,80
-1,0.05,0.01,4.0,20,2.4003797857858533,0.3437533802055165,79095.5,80
-1,0.05,0.01,4.0,25,2.7471205902179707,0.3393185505678745,78921.5,80
-1,0.05,0.01,8.0,10,1.6609725800265573,0.38994050838290967,80016.0,80
-1,0.05,0.01,8.0,12,1.7472606497185854,0.3780421849648459,79764.0,80
-1,0.05,0.01,8.0,15,1.8634280907089404,0.36636019469983777,79473.5,80
-1,0.05,0.01,8.0,20,2.089648959791313,0.3552190373174689,79300.0,80
-1,0.05,0.01,8.0,25,2.3485546371173034,0.35164954029204976,79232.5,80
-1,0.05,0.05,1.0,10,3.258883463821465,0.23223363980530015,75957.5,80
-1,0.05,0.05,1.0,12,3.7064246053924803,0.23017847485127096,75724.0,80
-1,0.05,0.05,1.0,15,4.361992681841234,0.2259599783666847,75518.0,80
-1,0.05,0.05,1.0,20,5.475313574012583,0.2222823147647377,75364.5,80
-1,0.05,0.05,1.0,25,6.627137955120837,0.21979448350459707,75205.5,80
-1,0.05,0.05,2.0,10,2.762826090204313,0.2689021092482423,76958.0,80
-1,0.05,0.05,2.0,12,3.1049602826796883,0.2611141157382369,76702.0,80
-1,0.05,0.05,2.0,15,3.6006478771215304,0.2521362898864251,76406.5,80
-1,0.05,0.05,2.0,20,4.452992217112005,0.24532179556517036,76141.0,80
-1,0.05,0.05,2.0,25,5.343724950229595,0.2413196322336398,75910.0,80
-1,0.05,0.05,4.0,10,2.378774098204494,0.3076257436452136,78069.5,80
-1,0.05,0.05,4.0,12,2.6357119224477237,0.29843158464034614,77685.5,80
-1,0.05,0.05,4.0,15,3.003368120276009,0.28826392644672794,77283.0,80
-1,0.05,0.05,4.0,20,3.6471213882919553,0.27777176852352625,76982.5,80
-1,0.05,0.05,4.0,25,4.329907804134613,0.27290427257977284,76796.5,80
-1,0.05,0.05,8.0,10,2.086637999608198,0.3409410492157923,79033.5,80
-1,0.05,0.05,8.0,12,2.275994879534485,0.33055705786911843,78796.5,80
-1,0.05,0.05,8.0,15,2.5431911418728843,0.3189832341806382,78376.5,80
-1,0.05,0.05,8.0,20,3.0229321530174755,0.3070849107625744,77900.0,80
-1,0.05,0.05,8.0,25,3.5417594686342353,0.3023255813953488,77592.0,80
-1,0.05,0.1,1.0,10,3.930990796670454,0.21373715521903733,74929.5,80
-1,0.05,0.1,1.0,12,4.519582909427951,0.211032990805841,74842.5,80
